City Name,Zone Name,Ward Name,Ward No.,Total no. of registered voters,No. of votes polled in the last municipal election,No. of Polling Stations / booths
Lucknow,Zone 1,HAZRATGANJ RAMTEERTH WARD,21,22490,6910,21
Lucknow,Zone 1,LALKUAN WARD,24,15037,6936,15
Lucknow,Zone 1,VIKRAMADITYA WARD,27,22386,6443,19
Lucknow,Zone 1,RAM MOHAN ROY WARD,33,17771,5000,15
Lucknow,Zone 1,RANI LAXMI BAI WARD,42,19249,7000,19
Lucknow,Zone 1,JAGDISH CHANDRA BOSE WARD,44,17033,4783,17
Lucknow,Zone 1,BABU BANARSI DAS WARD,55,21326,7866,19
Lucknow,Zone 1,MAHATMA GANDHI WARD,66,18572,8331,17
Lucknow,Zone 1,GOLAGANJ PEERJALEEL WARD,78,17758,5774,15
Lucknow,Zone 1,BASHEERATGANJ- GANESHGANJ WARD,84,20279,8902,21
Lucknow,Zone 1,YADUNATH SANYAAL WARD,88,23405,8657,21
Lucknow,Zone 1,NAZARBAGH WARD,92,15337,5780,14
Lucknow,Zone 1,MAULVI GANJ WARD,99,19165,8183,17
Lucknow,Zone 1,MASHAQ GANJ- WAZIRGANJ WARD,102,22814,9408,20
Lucknow,Zone 2,AMBEDKAR NAGAR WARD,1,22716,8752,21
Lucknow,Zone 2,MALVIYA NAGAR WARD,10,22863,8911,20
Lucknow,Zone 2,AISHBAGH WARD,18,25982,10957,22
Lucknow,Zone 2,TILAK NAGAR- KUNDRI RAKABGANJ WARD,34,21219,9128,21
Lucknow,Zone 2,MOTI LAL NEHRU NAGAR- CHANDRABHANU GUPTA WARD,46,24983,8242,22
Lucknow,Zone 2,KUWAR JYOTI PRASAD WARD,70,18753,8796,16
Lucknow,Zone 2,LABOUR COLONY WARD,71,15699,7372,14
Lucknow,Zone 2,HARDEEN RAI NAGAR WARD,74,24596,11353,23
Lucknow,Zone 2,RAJAJIPURAM WARD,81,13972,6189,13
Lucknow,Zone 2,RAJENDRA NAGAR WARD ,83,13564,5848,13
Lucknow,Zone 2,YAHIYAGANJ- NETA SUBHASH CHANDRA BOSE WARD,104,19724,7904,18
Lucknow,Zone 2,RAJA BAZAR WARD,105,18564,7414,19
Lucknow,Zone 3,JAANKIPURAM - I WARD,16,29879,11003,26
Lucknow,Zone 3,DALIGANJ- NIRALA NAGAR WARD,32,24371,9922,22
Lucknow,Zone 3,JAI SHANKAR PRASAD WARD,40,20003,6134,19
Lucknow,Zone 3,FAIZULLAHGANJ-II WARD,43,21386,8473,19
Lucknow,Zone 3,AYODHYADAS- II WARD,51,15144,5207,13
Lucknow,Zone 3,FAIZULLAHGANJ-I WARD,54,11456,4709,9
Lucknow,Zone 3,JAANKIPURAM - II WARD,58,26296,10157,23
Lucknow,Zone 3,LALA LAJPAT RAI WARD,59,18982,8193,19
Lucknow,Zone 3,MANKAMESHWAR WARD,62,21640,9023,20
Lucknow,Zone 3,BHARTENDU HARISHCHANDRA WARD,65,20916,8869,21
Lucknow,Zone 3,MAHANAGAR WARD,67,19554,6668,18
Lucknow,Zone 3,TRIVENI NAGAR WARD,72,25714,10196,23
Lucknow,Zone 3,FAIZULLAHGANJ-III WARD,73,20727,8371,20
Lucknow,Zone 3,FAIZULLAHGANJ-IV WARD,75,11399,5266,10
Lucknow,Zone 3,KADAM RASOOL WARD,80,18705,7361,16
Lucknow,Zone 3,VIVEKANANDPURI WARD,94,20124,8036,19
Lucknow,Zone 3,BEGUM HAZRAT MAHAL- BAJRANG BALI WARD,98,18076,7558,16
Lucknow,Zone 3,AYODHYADAS- I WARD,106,27337,9885,25
Lucknow,Zone 3,ALIGANJ WARD,109,19632,8372,17
Lucknow,Zone 4,PAPER MILL COLONY WARD,23,28406,9809,24
Lucknow,Zone 4,CHINHAT- I WARD,35,21956,8443,18
Lucknow,Zone 4,COLVIN COLLEGE- NISHATGANJ WARD,41,24469,9333,23
Lucknow,Zone 4,RAFI AHMED KIDWAI WARD,45,20083,7766,17
Lucknow,Zone 4,CHINHAT- II WARD,49,18217,6553,17
Lucknow,Zone 4,GOMTI NAGAR WARD,61,17513,5265,16
Lucknow,Zone 4,RAJEEV GANDHI- I WARD,69,21408,7190,19
Lucknow,Zone 4,RAJEEV GANDHI- II WARD,96,21561,7188,19
Lucknow,Zone 5,SAROJINI NAGAR -I WARD,4,21573,10069,18
Lucknow,Zone 5,SAROJINI NAGAR -II WARD,9,24668,8605,22
Lucknow,Zone 5,GURU NANAK NAGAR WARD,19,20285,8281,18
Lucknow,Zone 5,KESHRI KHEDA WARD,22,25772,10280,23
Lucknow,Zone 5,RAMJILAL SARDAR PATEL NAGAR WARD,29,27058,9695,28
Lucknow,Zone 5,GURU GOVIND SINGH WARD,36,15979,4953,15
Lucknow,Zone 5,OM NAGAR WARD,39,23895,7451,23
Lucknow,Zone 5,CHITRAGUPT NAGAR WARD,47,25684,9884,22
Lucknow,Zone 5,BABU KUNJ BIHARI WARD,48,23522,7522,21
Lucknow,Zone 5,GEETAPALLI WARD,60,24100,8845,22
Lucknow,Zone 6, NEW HAIDERGANJ - III WARD,11,17459,6705,15
Lucknow,Zone 6,SAADATGANJ WARD,13,18641,7413,16
Lucknow,Zone 6,BALAGANJ WARD,15,28570,10808,25
Lucknow,Zone 6,NEW HAIDERGANJ - II WARD,17,19255,9331,13
Lucknow,Zone 6,ALAM NAGAR WARD,20,23767,9611,20
Lucknow,Zone 6,KANHAIYA MADHOPUR- II WARD,25,26188,9858,21
Lucknow,Zone 6,KANHAIYA MADHOPUR- I WARD,37,25987,9706,20
Lucknow,Zone 6,NEW HAIDERGANJ - I WARD,76,22055,8307,20
Lucknow,Zone 6,MALLAHI TOLA-I WARD,79,20433,9616,20
Lucknow,Zone 6,SHEETLA DEVI WARD,82,20120,7335,18
Lucknow,Zone 6,MALLAHI TOLA-II WARD,87,15800,6142,14
Lucknow,Zone 6,HUSSAINABAD WARD,89,23644,9003,21
Lucknow,Zone 6,DAULATGANJ WARD,90,15533,6738,14
Lucknow,Zone 6,GADHIPEER KHAN WARD,93,27647,11582,24
Lucknow,Zone 6,AACHARYA NARENDRA DEV WARD,95,18616,8418,17
Lucknow,Zone 6,AMBERGANJ WARD,97,16814,6438,14
Lucknow,Zone 6,ARSHAFABAD WARD,100,13358,5789,12
Lucknow,Zone 6,MAULANA KALBE ABID- I WARD,101,16936,6324,15
Lucknow,Zone 6,KASHMIRI MOHALLA WARD,103,19825,7363,19
Lucknow,Zone 6,BHAVANI GANJ WARD,107,16420,6786,15
Lucknow,Zone 6,BAZAR KALIJI CHOWK WARD,108,16114,5753,16
Lucknow,Zone 6,MAULANA KALBE ABID- II WARD,110,20339,8243,18
Lucknow,Zone 7,SHAHEED BHAGAT SINGH WARD,7,25686,11483,20
Lucknow,Zone 7,LAL BAHADUR SHASTRI - I WARD,8,19867,7016,19
Lucknow,Zone 7,INDRA PRIYADARSHINI WARD,26,23901,9876,20
Lucknow,Zone 7,SHANKARPURVA- II WARD,31,27482,9066,24
Lucknow,Zone 7,ISMAILGANJ- I WARD,52,19040,7239,16
Lucknow,Zone 7,ISMAILGANJ- II WARD,53,30932,11036,24
Lucknow,Zone 7,BABU JAGJEEVAN RAM WARD,57,23363,9497,22
Lucknow,Zone 7,SHANKARPURVA- III WARD,63,22179,7569,20
Lucknow,Zone 7,MAITHELI SHARAN GUPTA,68,23723,8773,22
Lucknow,Zone 7,LOHIYA NAGAR WARD,77,22230,8780,19
Lucknow,Zone 7,SHANKARPURVA- I WARD,85,29289,9722,24
Lucknow,Zone 7,INDRA NAGAR WARD,86,22778,8633,22
Lucknow,Zone 7,LAL BAHADUR SHASTRI - II WARD,91,21624,7139,19
Lucknow,Zone 8,RAJA BIJLI PAASI - II WARD,2,24418,9905,20
Lucknow,Zone 8,RAJA BIJLI PAASI - I WARD,3,10146,5010,10
Lucknow,Zone 8,IBRAHIMPUR -I WARD,5,22205,7834,20
Lucknow,Zone 8,SHARDA NAGAR-I WARD,6,25277,10147,21
Lucknow,Zone 8,SHARDA NAGAR-II WARD,12,27687,9677,22
Lucknow,Zone 8,IBRAHIMPUR -II WARD,14,24761,8364,22
Lucknow,Zone 8,HIND NAGAR WARD,28,21254,8736,19
Lucknow,Zone 8,KHARIKA- II WARD,30,12987,6101,9
Lucknow,Zone 8,VIDYAWATI- II WARD,38,24334,11024,20
Lucknow,Zone 8,KHARIKA- I WARD,50,22147,8068,19
Lucknow,Zone 8,VIDYAWATI- I WARD,56,23481,9077,20
Lucknow,Zone 8,VIDYAWATI- III WARD,64,20909,8919,17
