,id,month,claims_received,claims_disbursed,gross_enrollment
0,0,01-03-2019,145763,135212,59170000
1,1,01-04-2019,148276,137298,59900000
2,2,01-05-2019,152101,139917,60500000
3,3,01-06-2019,155924,141817,60900000
4,4,01-07-2019,157701,144532,61300000
5,5,01-08-2019,161189,147852,61900000
6,6,01-09-2019,162333,149004,62800000
7,7,01-10-2019,167287,153273,63600000
8,8,01-11-2019,173131,158560,64100000
9,9,01-12-2019,176731,164300,65199999
10,10,01-01-2020,179956,169216,66700000
11,11,01-02-2020,187787,175261,68100000
12,12,01-03-2020,190175,178189,69600000
13,13,01-04-2020,194025,180848,70800000
14,14,01-05-2020,195035,182271,71500000
15,15,01-06-2020,196660,183790,71600000
16,16,01-07-2020,199497,186136,72500000
17,17,01-08-2020,203350,187818,74100000
18,18,01-09-2020,208852,191544,75300000
19,19,01-10-2020,212522,196135,93100000
20,20,01-11-2020,218775,198198,94800000
21,21,01-12-2020,225639,204694,97000000
22,22,01-01-2021,230477,208440,98900000
23,23,01-02-2021,236368,219078,100600000
24,24,01-03-2021,250351,234905,102700000
25,25,01-04-2021,256523,239605,103200000
26,26,01-05-2021,261827,245452,103500000
27,27,01-06-2021,268320,250152,105300000
28,28,01-07-2021,277321,257744,106500000
29,29,01-08-2021,285565,265776,108100000
30,30,01-09-2021,293450,272176,111600000
31,31,01-10-2021,542002,512915,112899999
32,32,01-11-2021,550587,522298,114600000
33,33,01-12-2021,561053,533285,119000000
34,34,01-01-2022,571323,543193,121287000
35,35,01-02-2022,583347,554915,123800000
36,36,01-03-2022,599418,571007,126600000
37,37,01-04-2022,604889,576121,127600000
38,38,01-05-2022,614679,585644,128900000
39,39,01-06-2022,621372,592192,131100000
40,40,01-07-2022,627780,598331,132300000
41,41,01-08-2022,639797,607213,135300000
42,42,01-09-2022,641294,611558,138400000
43,43,01-10-2022,648795,618906,140200000
44,44,01-11-2022,657799,627817,144300000
45,45,01-12-2022,665462,634973,148200000
46,46,01-01-2023,672095,642027,151100000
47,47,01-02-2023,678698,648588,154200000
48,48,01-03-2023,690509,660383,159900000
